調查時間,性別,年齡,職業,年收入,拜訪頻率,享用方式, 停留時間,家裡到星巴克的距離,會員卡, 購買項目,花費金額,產品評價,價格平價,活動評價,氣氛評價,店內Wifi 評價,服務評價,會選擇星巴克當工作或朋友聚會的地方嗎?,促銷管道,還會購買嗎?
2019/10/01 8:32:12 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee,More than RM40,2,1,5,1,4,3,3,Social Media,會
2019/10/02 12:13:06 AM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,得來速,Below 30 minutes,1km - 3km,No,Coffee;Cold drinks,Around RM20 - RM40,5,4,3,4,3,3,3,In Store displays,會
2019/10/02 9:29:28 AM GMT+8,Male,From 30 to 39,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Around RM20 - RM40,3,3,4,3,3,3,3,Social Media,會
2019/10/02 7:14:30 PM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Less than RM20,4,2,3,5,4,4,5,Social Media;Through friends and word of mouth,會
2019/10/02 7:15:13 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Coffee,Zero,3,1,5,3,4,4,5,Social Media,不會
2019/10/02 7:15:27 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,1km - 3km,No,Coffee,Less than RM20,4,3,2,4,3,4,4,Through friends and word of mouth,不會
2019/10/02 7:23:55 PM GMT+8,Female,From 20 to 29,自僱人士,"RM25,000 - RM50,000",每個月,內用,Below 30 minutes,within 1km,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Around RM20 - RM40,4,3,4,5,4,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,會
2019/10/02 7:27:56 PM GMT+8,Female,From 20 to 29,自僱人士,"Less than RM25,000",沒有去過,不會去,Below 30 minutes,more than 3km,No,Never,Zero,3,3,3,3,3,3,3,Never hear,不會
2019/10/02 7:29:53 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,內用,Below 30 minutes,more than 3km,No,Coffee,Zero,2,1,5,4,4,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,不會
2019/10/02 7:31:32 PM GMT+8,Female,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,內用,Between 30 minutes to 1 hour,1km - 3km,Yes,Cold drinks,Less than RM20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,會
2019/10/02 7:33:51 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,within 1km,No,Coffee,Less than RM20,4,3,4,5,5,5,3,Social Media;Through friends and word of mouth,會
2019/10/02 8:04:41 PM GMT+8,Male,From 20 to 29,就業人員,"RM25,000 - RM50,000",每週,外帶,Between 1 hour to 2 hours,within 1km,Yes,Coffee;Sandwiches,Around RM20 - RM40,5,1,3,3,2,3,3,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",會
2019/10/02 8:08:37 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",每個月,外帶,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,4,2,4,4,3,4,3,Through friends and word of mouth,會
2019/10/02 8:29:35 PM GMT+8,Male,From 30 to 39,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,1km - 3km,Yes,Cold drinks,Less than RM20,3,2,4,4,4,5,4,Starbucks Website/Apps;Social Media,會
2019/10/02 8:31:21 PM GMT+8,Female,From 20 to 29,家庭主婦,"RM50,000 - RM100,000",很少,得來速,Below 30 minutes,more than 3km,No,Coffee;Cold drinks,Around RM20 - RM40,3,2,3,3,3,5,4,Social Media,會
2019/10/02 8:35:08 PM GMT+8,Male,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,外帶,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,3,3,4,5,4,4,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",會
2019/10/02 8:52:13 PM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,4,2,5,3,2,4,4,Social Media;Emails;Through friends and word of mouth,會
2019/10/02 9:19:50 PM GMT+8,Male,From 20 to 29,就業人員,"RM50,000 - RM100,000",每個月,內用,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Around RM20 - RM40,4,2,1,4,1,4,4,Social Media,會
2019/10/03 7:19:36 AM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,2,1,5,2,2,2,2,Social Media;Through friends and word of mouth,不會
2019/10/03 7:21:08 AM GMT+8,Female,Below 20,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,2,2,3,2,2,2,2,"Social Media;Deal sites (fave, iprice, etc...)",不會
2019/10/03 8:46:25 AM GMT+8,Female,From 20 to 29,就業人員,"RM50,000 - RM100,000",每個月,得來速,More than 3 hours,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,2,4,3,1,3,3,Starbucks Website/Apps,不會
2019/10/03 9:11:28 AM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",沒有去過,不會去,Below 30 minutes,more than 3km,No,Never buy any,Zero,1,1,1,3,3,3,3,NA,不會
2019/10/03 11:14:37 AM GMT+8,Male,From 20 to 29,自僱人士,"RM50,000 - RM100,000",很少,內用,Between 1 hour to 2 hours,more than 3km,Yes,Cold drinks,Less than RM20,5,5,5,5,5,5,5,Starbucks Website/Apps,會
2019/10/03 11:14:44 AM GMT+8,Male,From 30 to 39,自僱人士,"RM50,000 - RM100,000",每週,外帶,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,4,4,2,4,3,4,5,Social Media,會
2019/10/03 11:15:13 AM GMT+8,Male,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,內用,Between 1 hour to 2 hours,more than 3km,No,Coffee,Around RM20 - RM40,4,2,4,3,4,4,4,In Store displays,不會
2019/10/03 11:17:27 AM GMT+8,Male,From 30 to 39,自僱人士,"More than RM150,000",每個月,內用,Between 2 hours to 3 hours,more than 3km,Yes,Jaws chip ,Around RM20 - RM40,4,3,4,4,3,4,4,Starbucks Website/Apps;Emails,會
2019/10/03 11:18:48 AM GMT+8,Male,From 20 to 29,自僱人士,"More than RM150,000",很少,得來速,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,More than RM40,4,3,2,3,1,2,2,Social Media;Through friends and word of mouth,會
2019/10/03 11:22:03 AM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,內用,Below 30 minutes,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,3,3,4,3,3,3,Social Media;Through friends and word of mouth,會
2019/10/03 11:25:13 AM GMT+8,Female,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,外帶,Below 30 minutes,within 1km,Yes,cake ,Around RM20 - RM40,4,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,會
2019/10/03 11:32:03 AM GMT+8,Male,From 20 to 29,自僱人士,"RM25,000 - RM50,000",很少,內用,Below 30 minutes,1km - 3km,Yes,Cold drinks,Zero,5,5,5,5,4,5,5,Starbucks Website/Apps,會
2019/10/03 12:12:22 PM GMT+8,Female,From 30 to 39,就業人員,"RM50,000 - RM100,000",每週,內用,Between 1 hour to 2 hours,more than 3km,Yes,Coffee,Around RM20 - RM40,4,4,5,4,4,5,4,Emails,會
2019/10/03 12:13:56 PM GMT+8,Female,From 30 to 39,就業人員,"RM25,000 - RM50,000",每個月,外帶,Between 30 minutes to 1 hour,within 1km,Yes,Coffee;Pastries,Around RM20 - RM40,4,3,4,5,5,4,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,會
2019/10/03 1:30:06 PM GMT+8,Female,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,內用,Below 30 minutes,within 1km,No,Coffee,Zero,3,3,3,3,3,3,3,Social Media,不會
2019/10/03 2:13:11 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,5,3,5,5,4,4,1,Social Media;In Store displays,會
2019/10/03 2:34:09 PM GMT+8,Male,From 20 to 29,就業人員,"RM50,000 - RM100,000",每個月,外帶,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,3,1,3,3,1,3,2,Social Media;Through friends and word of mouth,會
2019/10/03 3:11:13 PM GMT+8,Female,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,內用,Between 30 minutes to 1 hour,1km - 3km,Yes,Cold drinks,Less than RM20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,會
2019/10/03 3:44:13 PM GMT+8,Female,From 20 to 29,自僱人士,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,3,1,4,3,4,4,Social Media;Through friends and word of mouth,會
2019/10/03 4:25:38 PM GMT+8,Female,From 30 to 39,就業人員,"Less than RM25,000",很少,不會去,Below 30 minutes,within 1km,No,Pastries,Around RM20 - RM40,3,3,3,3,3,3,3,Social Media,會
2019/10/03 4:41:10 PM GMT+8,Female,From 20 to 29,就業人員,"RM25,000 - RM50,000",很少,得來速,Below 30 minutes,1km - 3km,Yes,Coffee,Around RM20 - RM40,4,3,4,3,3,4,4,Starbucks Website/Apps;Emails,會
2019/10/03 5:19:31 PM GMT+8,Male,From 30 to 39,就業人員,"Less than RM25,000",很少,得來速,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,4,2,3,4,4,4,4,Social Media,會
2019/10/03 6:24:46 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,得來速,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Around RM20 - RM40,3,2,3,3,3,3,3,Through friends and word of mouth,會
2019/10/03 6:31:44 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Less than RM20,3,4,3,3,1,2,3,Through friends and word of mouth,會
2019/10/03 6:35:21 PM GMT+8,Male,From 20 to 29,自僱人士,"RM50,000 - RM100,000",每天,得來速,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,4,2,4,4,3,3,3,Social Media;Emails,會
2019/10/03 6:41:20 PM GMT+8,Male,From 30 to 39,就業人員,"RM25,000 - RM50,000",每週,內用,Between 1 hour to 2 hours,more than 3km,No,Coffee;Pastries,More than RM40,4,5,5,4,4,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,會
2019/10/03 6:44:10 PM GMT+8,Male,Below 20,學生,"Less than RM25,000",很少,得來速,Between 30 minutes to 1 hour,more than 3km,No,Pastries,Less than RM20,4,4,4,4,4,4,4,Social Media;Emails,不會
2019/10/03 6:45:28 PM GMT+8,Male,40 and above,就業人員,"RM50,000 - RM100,000",每個月,得來速,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Around RM20 - RM40,4,3,5,4,4,4,4,Starbucks Website/Apps,會
2019/10/03 6:46:53 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,3,3,3,3,3,3,3,Starbucks Website/Apps;Social Media,會
2019/10/03 7:00:47 PM GMT+8,Female,Below 20,學生,"Less than RM25,000",沒有去過,不會去,Below 30 minutes,more than 3km,No,Cold drinks;Never,Zero,3,2,2,2,3,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,會
2019/10/03 7:14:53 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",沒有去過,不會去,Below 30 minutes,within 1km,No,never,Zero,3,3,3,1,3,3,4,Through friends and word of mouth,不會
2019/10/03 7:40:31 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,內用,Below 30 minutes,more than 3km,No,Coffee;Pastries,Less than RM20,3,3,3,3,3,3,2,Social Media,不會
2019/10/03 7:43:00 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Zero,4,2,3,5,4,4,2,Social Media,不會
2019/10/03 7:47:00 PM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",每個月,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,5,4,4,4,4,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,會
2019/10/03 7:58:17 PM GMT+8,Male,From 20 to 29,學生,"More than RM150,000",沒有去過,不會去,Below 30 minutes,more than 3km,No,Nothing ,Zero,1,1,1,1,1,1,1,Billboards,不會
2019/10/03 8:58:26 PM GMT+8,Female,Below 20,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,4,5,5,5,4,4,Social Media,會
2019/10/03 9:25:36 PM GMT+8,Male,40 and above,自僱人士,"RM25,000 - RM50,000",很少,內用,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Less than RM20,2,2,1,2,2,3,2,In Store displays,不會
2019/10/03 10:38:42 PM GMT+8,Male,Below 20,學生,"Less than RM25,000",每天,外帶,Below 30 minutes,more than 3km,No,Cold drinks,Around RM20 - RM40,5,5,5,5,5,5,5,Social Media;Through friends and word of mouth,會
2019/10/03 11:24:55 PM GMT+8,Male,From 30 to 39,學生,"Less than RM25,000",每個月,內用,Between 1 hour to 2 hours,more than 3km,No,Cold drinks,Less than RM20,4,4,5,4,2,3,4,Social Media,會
2019/10/04 12:24:26 AM GMT+8,Male,40 and above,自僱人士,"RM25,000 - RM50,000",每個月,內用,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,3,5,3,2,4,4,Starbucks Website/Apps;Social Media,會
2019/10/04 9:30:09 AM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",每個月,內用,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,More than RM40,5,5,5,5,5,5,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",會
2019/10/04 1:46:07 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,1km - 3km,No,Coffee;Cold drinks,Less than RM20,3,2,4,3,3,3,4,Social Media;Through friends and word of mouth;In Store displays,不會
2019/10/05 11:01:14 AM GMT+8,Female,From 20 to 29,就業人員,"Less than RM25,000",很少,外帶,Below 30 minutes,within 1km,No,Coffee,Less than RM20,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth;Billboards,會
2019/10/05 4:57:22 PM GMT+8,Male,From 20 to 29,就業人員,"RM50,000 - RM100,000",很少,內用,Between 30 minutes to 1 hour,1km - 3km,No,Coffee,Less than RM20,1,1,5,4,3,3,2,In Store displays,不會
